PARLAMENTO | AMÉRICA - ANTILLAS HOLANDESAS	850	386	286
PARLAMENTO | AMÉRICA - ARGENTINA	144897	35623	17673
PARLAMENTO | AMÉRICA - BOLIVIA	9982	3987	2751
PARLAMENTO | AMÉRICA - BRASIL	19532	4473	3075
PARLAMENTO | AMÉRICA - CANADÁ	24136	7514	6041
PARLAMENTO | AMÉRICA - CHILE	125085	39103	18751
PARLAMENTO | AMÉRICA - COLOMBIA	6150	1957	1201
PARLAMENTO | AMÉRICA - COSTA RICA	3264	1209	888
PARLAMENTO | AMÉRICA - CUBA	137	15	9
PARLAMENTO | AMÉRICA - ECUADOR	6989	2619	1297
PARLAMENTO | AMÉRICA - EL SALVADOR	171	75	42
PARLAMENTO | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	350371	43681	32556
PARLAMENTO | AMÉRICA - GUATEMALA	521	216	195
PARLAMENTO | AMÉRICA - GUAYANA FRANCESA	642	151	88
PARLAMENTO | AMÉRICA - HONDURAS	273	63	49
PARLAMENTO | AMÉRICA - MÉXICO	6486	1351	1125
PARLAMENTO | AMÉRICA - NICARAGUA	185	71	61
PARLAMENTO | AMÉRICA - PANAMÁ	3580	1309	873
PARLAMENTO | AMÉRICA - PARAGUAY	1802	192	111
PARLAMENTO | AMÉRICA - PUERTO RICO	818	123	98
PARLAMENTO | AMÉRICA - REPÚBLICA DOMINICANA	1401	178	118
PARLAMENTO | AMÉRICA - TRINIDAD Y TOBAGO	93	11	11
PARLAMENTO | AMÉRICA - URUGUAY	1952	542	297
PARLAMENTO | ASIA - FILIPINAS	49	13	11
PARLAMENTO | ASIA - INDIA	92	11	10
PARLAMENTO | ASIA - INDONESIA	22	10	8
PARLAMENTO | ASIA - JAPÓN	37660	9466	6705
PARLAMENTO | ASIA - MALASIA	23	8	7
PARLAMENTO | ASIA - REPUBLICA DE COREA	379	123	102
PARLAMENTO | ASIA - REPÚBLICA POPULAR CHINA	833	174	124
PARLAMENTO | ASIA - SINGAPUR	104	35	34
PARLAMENTO | ASIA - TAILANDIA	92	34	29
PARLAMENTO | ASIA - TURQUÍA	91	41	35
PARLAMENTO | ASIA - VIETNAM	17	5	4
PARLAMENTO | CALLAO - CALLAO	851513	617280	468973
PARLAMENTO | EUROPA - ALEMANIA	13471	4108	3375
PARLAMENTO | EUROPA - AUSTRIA	1176	278	230
PARLAMENTO | EUROPA - BIELORRUSIA	30	17	14
PARLAMENTO | EUROPA - BÉLGICA	4009	1873	1370
PARLAMENTO | EUROPA - DINAMARCA	675	195	173
PARLAMENTO | EUROPA - ESPAÑA	214559	51960	34991
PARLAMENTO | EUROPA - FINLANDIA	459	116	92
PARLAMENTO | EUROPA - FRANCIA	14207	3322	2524
PARLAMENTO | EUROPA - GRAN BRETAÑA	6279	1076	885
PARLAMENTO | EUROPA - GRAN DUCADO DE LUXEMBURGO	354	182	129
PARLAMENTO | EUROPA - GRECIA	329	47	31
PARLAMENTO | EUROPA - HOLANDA	2550	815	705
PARLAMENTO | EUROPA - HUNGRÍA	322	109	95
PARLAMENTO | EUROPA - IRLANDA	331	93	73
PARLAMENTO | EUROPA - ITALIA	122200	35698	23821
PARLAMENTO | EUROPA - MALTA	37	17	15
PARLAMENTO | EUROPA - NORUEGA	534	155	132
PARLAMENTO | EUROPA - POLONIA	409	106	90
PARLAMENTO | EUROPA - PORTUGAL	694	241	184
PARLAMENTO | EUROPA - PRINCIPADO DE ANDORRA	247	130	67
PARLAMENTO | EUROPA - REPÚBLICA CHECA	279	118	110
PARLAMENTO | EUROPA - RUMANÍA	145	50	43
PARLAMENTO | EUROPA - RUSIA	636	150	100
PARLAMENTO | EUROPA - SUECIA	4107	1321	1054
PARLAMENTO | EUROPA - SUIZA	9366	2688	1946
PARLAMENTO | ICA - CHINCHA	7669	5335	3836
PARLAMENTO | ICA - NASCA	63028	26232	19563
PARLAMENTO | ICA - PALPA	12833	6275	4384
PARLAMENTO | ICA - PISCO	124311	81193	56907
PARLAMENTO | JUNÍN - CHANCHAMAYO	137887	83626	56703
PARLAMENTO | JUNÍN - CHUPACA	54627	36957	26512
PARLAMENTO | JUNÍN - CONCEPCIÓN	52075	28629	20196
PARLAMENTO | JUNÍN - HUANCAYO	465147	341811	266030
PARLAMENTO | JUNÍN - JAUJA	73635	45930	32616
PARLAMENTO | JUNÍN - JUNÍN	18466	12729	8823
PARLAMENTO | JUNÍN - SATIPO	154832	87962	58513
PARLAMENTO | JUNÍN - TARMA	75751	57477	38576
PARLAMENTO | JUNÍN - YAULI	30080	21565	16155
PARLAMENTO | LA LIBERTAD - ASCOPE	99625	53825	37405
PARLAMENTO | LA LIBERTAD - BOLÍVAR	12857	5799	3644
PARLAMENTO | LA LIBERTAD - CHEPÉN	70797	38200	25894
PARLAMENTO | LA LIBERTAD - GRAN CHIMÚ	23674	13276	8384
PARLAMENTO | LA LIBERTAD - JULCÁN	26465	11603	7217
PARLAMENTO | LA LIBERTAD - OTUZCO	73980	42059	26171
PARLAMENTO | LA LIBERTAD - PACASMAYO	85493	44797	30349
PARLAMENTO | LA LIBERTAD - PATAZ	62037	27818	16412
PARLAMENTO | LA LIBERTAD - SANTIAGO DE CHUCO	43386	27038	17862
PARLAMENTO | LA LIBERTAD - SÁNCHEZ CARRIÓN	123306	77610	49878
PARLAMENTO | LA LIBERTAD - TRUJILLO	847194	580074	457298
PARLAMENTO | LA LIBERTAD - VIRÚ	83877	65850	45245
PARLAMENTO | LAMBAYEQUE - CHICLAYO	705206	455229	333788
PARLAMENTO | LAMBAYEQUE - FERREÑAFE	87330	46302	30695
PARLAMENTO | LAMBAYEQUE - LAMBAYEQUE	258814	164704	111032
PARLAMENTO | LIMA - BARRANCA	122646	85478	60940
PARLAMENTO | LIMA - CAJATAMBO	6045	2864	1800
PARLAMENTO | LIMA - CANTA	12822	10041	7225
PARLAMENTO | LIMA - CAÑETE	194907	145502	105154
PARLAMENTO | LIMA - HUARAL	162781	129027	92808
PARLAMENTO | LIMA - HUAROCHIRÍ	96193	66686	49353
PARLAMENTO | LIMA - HUAURA	192302	143017	103642
PARLAMENTO | LIMA - LIMA	6058985	4546137	3633284
PARLAMENTO | LIMA - OYÓN	13169	8574	5816
PARLAMENTO | LIMA - YAUYOS	27608	16083	11056
PARLAMENTO | LORETO - ALTO AMAZONAS	10375	5935	3200
PARLAMENTO | LORETO - MAYNAS	34253	17788	11743
PARLAMENTO | OCEANÍA - AUSTRALIA	4742	1305	1141
PARLAMENTO | OCEANÍA - NUEVA ZELANDA	841	251	224
PARLAMENTO | PIURA - AYABACA	94268	27777	18528
PARLAMENTO | PIURA - HUANCABAMBA	71765	24530	16117
PARLAMENTO | PIURA - MORROPÓN	132977	66093	40317
PARLAMENTO | PIURA - PAITA	96973	58415	36659
PARLAMENTO | PIURA - PIURA	427579	247310	165343
PARLAMENTO | PIURA - SECHURA	55626	30667	18910
PARLAMENTO | PIURA - SULLANA	258382	152815	96988
PARLAMENTO | PIURA - TALARA	113041	56018	35628
PARLAMENTO | PUNO - AZÁNGARO	95097	58269	45436
