13	2	RENOVACIÓN POPULAR	37730
13	2	SALVEMOS AL PERÚ	145
13	2	UN CAMINO DIFERENTE	1737
13	2	UNIDAD NACIONAL	999
13	2	VOTOS EN BLANCO	31271
13	2	VOTOS IMPUGNADOS	0
13	2	VOTOS NULOS	57807
14	1	AHORA NACIÓN - AN	1051150
14	1	ALIANZA ELECTORAL VENCEREMOS	95832
14	1	ALIANZA PARA EL PROGRESO	303994
14	1	AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	71141
14	1	FE EN EL PERÚ	16496
14	1	FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ	240446
14	1	FUERZA POPULAR	1900210
14	1	FUERZA Y LIBERTAD	34961
14	1	JUNTOS POR EL PERÚ	1220205
14	1	LIBERTAD POPULAR	61557
14	1	PARTIDO APRISTA PERUANO	218850
14	1	PARTIDO CIUDADANOS POR EL PERÚ	0
14	1	PARTIDO CÍVICO OBRAS	1107936
14	1	PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	6131
14	1	PARTIDO DEL BUEN GOBIERNO	1445050
14	1	PARTIDO DEMOCRATICO FEDERAL	16026
14	1	PARTIDO DEMOCRÁTICO SOMOS PERÚ	202598
14	1	PARTIDO DEMÓCRATA UNIDO PERÚ	87126
14	1	PARTIDO DEMÓCRATA VERDE	59001
14	1	PARTIDO FRENTE DE LA ESPERANZA 2021	230747
14	1	PARTIDO MORADO	65498
14	1	PARTIDO PATRIÓTICO DEL PERÚ	50193
14	1	PARTIDO PAÍS PARA TODOS	749142
14	1	PARTIDO POLÍTICO COOPERACIÓN POPULAR	146455
14	1	PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	48670
14	1	PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	114777
14	1	PARTIDO POLÍTICO PERÚ ACCIÓN	16486
14	1	PARTIDO POLÍTICO PERÚ PRIMERO	151333
14	1	PARTIDO POLÍTICO PRIN	16846
14	1	PARTIDO SICREO	50725
14	1	PERÚ MODERNO	10271
14	1	PODEMOS PERÚ	292859
