PARLAMENTO | SAN MARTÍN - BELLAVISTA	143	143
PARLAMENTO | SAN MARTÍN - EL DORADO	87	87
PARLAMENTO | SAN MARTÍN - HUALLAGA	87	87
PARLAMENTO | SAN MARTÍN - LAMAS	215	215
PARLAMENTO | SAN MARTÍN - MARISCAL CÁCERES	183	183
PARLAMENTO | SAN MARTÍN - MOYOBAMBA	325	325
PARLAMENTO | SAN MARTÍN - PICOTA	131	131
PARLAMENTO | SAN MARTÍN - RIOJA	370	370
PARLAMENTO | SAN MARTÍN - SAN MARTÍN	548	548
PARLAMENTO | SAN MARTÍN - TOCACHE	208	208
PARLAMENTO | TACNA - CANDARAVE	24	24
PARLAMENTO | TACNA - JORGE BASADRE	38	38
PARLAMENTO | TACNA - TACNA	932	932
PARLAMENTO | TACNA - TARATA	29	29
PARLAMENTO | TUMBES - CONTRALMIRANTE VILLAR	61	61
PARLAMENTO | TUMBES - TUMBES	428	428
PARLAMENTO | TUMBES - ZARUMILLA	137	137
PARLAMENTO | UCAYALI - ATALAYA	139	139
PARLAMENTO | UCAYALI - CORONEL PORTILLO	1126	1126
PARLAMENTO | UCAYALI - PADRE ABAD	210	210
PARLAMENTO | UCAYALI - PURÚS	12	12
PARLAMENTO | ÁFRICA - ARGELIA	1	1
PARLAMENTO | ÁFRICA - KENIA	1	1
PARLAMENTO | ÁFRICA - MARRUECOS	1	1
PARLAMENTO | ÁFRICA - REPÚBLICA ÁRABE DE EGIPTO	1	1
PARLAMENTO | ÁFRICA - SUDÁFRICA	1	1
PRESIDENCIAL | AMÉRICA - ANTILLAS HOLANDESAS	2	2
PRESIDENCIAL | AMÉRICA - ARGENTINA	299	299
PRESIDENCIAL | AMÉRICA - BOLIVIA	22	22
PRESIDENCIAL | AMÉRICA - BRASIL	44	44
PRESIDENCIAL | AMÉRICA - CANADÁ	52	52
PRESIDENCIAL | AMÉRICA - CHILE	281	281
PRESIDENCIAL | AMÉRICA - COLOMBIA	17	17
PRESIDENCIAL | AMÉRICA - COSTA RICA	7	7
PRESIDENCIAL | AMÉRICA - CUBA	1	1
PRESIDENCIAL | AMÉRICA - ECUADOR	16	16
PRESIDENCIAL | AMÉRICA - EL SALVADOR	1	1
PRESIDENCIAL | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	749	749
PRESIDENCIAL | AMÉRICA - GUATEMALA	2	2
PRESIDENCIAL | AMÉRICA - GUAYANA FRANCESA	2	2
PRESIDENCIAL | AMÉRICA - HONDURAS	1	1
PRESIDENCIAL | AMÉRICA - MÉXICO	14	14
PRESIDENCIAL | AMÉRICA - NICARAGUA	1	1
PRESIDENCIAL | AMÉRICA - PANAMÁ	10	10
PRESIDENCIAL | AMÉRICA - PARAGUAY	4	4
PRESIDENCIAL | AMÉRICA - PUERTO RICO	2	2
PRESIDENCIAL | AMÉRICA - REPÚBLICA DOMINICANA	4	4
PRESIDENCIAL | AMÉRICA - TRINIDAD Y TOBAGO	1	1
PRESIDENCIAL | AMÉRICA - URUGUAY	4	4
PRESIDENCIAL | ASIA - FILIPINAS	1	1
PRESIDENCIAL | ASIA - INDIA	1	1
PRESIDENCIAL | ASIA - INDONESIA	1	1
PRESIDENCIAL | ASIA - JAPÓN	81	81
PRESIDENCIAL | ASIA - MALASIA	1	1
PRESIDENCIAL | ASIA - REPUBLICA DE COREA	1	1
PRESIDENCIAL | ASIA - REPÚBLICA POPULAR CHINA	4	4
PRESIDENCIAL | ASIA - SINGAPUR	1	1
PRESIDENCIAL | ASIA - TAILANDIA	1	1
PRESIDENCIAL | ASIA - TURQUÍA	2	2
PRESIDENCIAL | ASIA - VIETNAM	1	1
PRESIDENCIAL | CALLAO - CALLAO	2898	2898
PRESIDENCIAL | EUROPA - ALEMANIA	29	29
PRESIDENCIAL | EUROPA - AUSTRIA	3	3
PRESIDENCIAL | EUROPA - BIELORRUSIA	1	1
PRESIDENCIAL | EUROPA - BÉLGICA	10	10
PRESIDENCIAL | EUROPA - DINAMARCA	2	2
PRESIDENCIAL | EUROPA - ESPAÑA	446	446
PRESIDENCIAL | EUROPA - FINLANDIA	1	1
PRESIDENCIAL | EUROPA - FRANCIA	31	31
PRESIDENCIAL | EUROPA - GRAN BRETAÑA	13	13
PRESIDENCIAL | EUROPA - GRAN DUCADO DE LUXEMBURGO	1	1
PRESIDENCIAL | EUROPA - GRECIA	1	1
PRESIDENCIAL | EUROPA - HOLANDA	6	6
